Id Przystanku;Kierunek;Czas potrzebny na dojazd;Wspolrzedna x;Wspolrzedna y;Numer przystanku;Numer linii
5742;Abramowice;2;22.497080560000;51.237822220000;2;151;
5732;Abramowice;1;22.501122220000;51.239786110000;3;151;
5722;Abramowice;2;22.508416670000;51.243152780000;4;151;
5712;Abramowice;3;22.515711110000;51.246238890000;5;151;
5702;Abramowice;3;22.520875000000;51.248763890000;6;151;
5932;Abramowice;3;22.526766670000;51.250841670000;7;151;
5922;Abramowice;2;22.532658330000;51.250000000000;8;151;
5912;Abramowice;1;22.536980560000;51.249605560000;9;151;
5902;Abramowice;3;22.542591670000;51.248763890000;10;151;
1001;Abramowice;3;22.551402780000;51.247361110000;11;151;
1071;Abramowice;2;22.552244440000;51.243994440000;12;151;
3401;Abramowice;2;22.558416670000;51.239786110000;13;151;
3411;Abramowice;1;22.565991670000;51.235858330000;14;151;
3701;Abramowice;2;22.570875000000;51.233894440000;15;151;
3691;Abramowice;1;22.571565830689;51.231416718144;16;151;
3721;Abramowice;2;22.572838890000;51.226486110000;17;151;
3731;Abramowice;2;22.576486110000;51.221436110000;18;151;
3741;Abramowice;2;22.580133330000;51.216947220000;19;151;
3751;Abramowice;2;22.583613890000;51.212344440000;20;151;
3763;Abramowice;2;22.586419440000;51.206452780000;21;151;
3791;Abramowice;1;22.586013078690;51.203750964498;22;151;
3901;Abramowice;1;22.585858330000;51.201402780000;23;151;
3902;Węglin;1;22.586138890000;51.201122220000;1;151;
3792;Węglin;1;22.587053775788;51.205552474086;2;151;
3762;Węglin;2;22.586138890000;51.208697220000;3;151;
3752;Węglin;1;22.584175000000;51.211783330000;4;151;
3744;Węglin;3;22.579852780000;51.217788890000;5;151;
3782;Węglin;1;22.576834000000;51.221643000000;6;151;
3732;Węglin;2;22.575745583000;51.222985832000;7;151;
3722;Węglin;1;22.573400000000;51.225644440000;8;151;
3692;Węglin;2;22.572323083878;51.229579092365;9;151;
3412;Węglin;3;22.567788890000;51.235297220000;10;151;
3402;Węglin;40;22.557575000000;51.240347220000;11;151;
1072;Węglin;2;22.552805560000;51.243994440000;12;151;
1003;Węglin;3;22.550553000000;51.247697000000;13;151;
5903;Węglin;2;22.541188890000;51.249044440000;14;151;
5911;Węglin;2;22.535297220000;51.250000000000;15;151;
5921;Węglin;1;22.531255560000;51.250561110000;16;151;
5933;Węglin;2;22.523961110000;51.250280560000;17;151;
5701;Węglin;2;22.518911110000;51.248202780000;18;151;
5713;Węglin;1;22.514308330000;51.245958330000;19;151;
5721;Węglin;2;22.505891670000;51.242311110000;20;151;
5731;Węglin;1;22.499325000000;51.239225000000;21;151;
5741;Węglin;2;22.495397220000;51.237541670000;22;151;
5751;Węglin;2;22.488383330000;51.234455560000;23;151;
5761;Węglin;1;22.481816670000;51.231255560000;24;151;
5552;Abramowice;2;22.505330560000;51.225363890000;1;152;
5542;Abramowice;1;22.511222220000;51.227327780000;2;152;
5612;Abramowice;2;22.519191670000;51.227327780000;3;152;
5342;Abramowice;2;22.525363890000;51.227888890000;4;152;
5332;Abramowice;1;22.527608330000;51.230694440000;5;152;
5322;Abramowice;1;22.529291670000;51.235297220000;6;152;
5414;Abramowice;2;22.530975000000;51.237261110000;7;152;
5402;Abramowice;1;22.536419440000;51.235297220000;8;152;
5472;Abramowice;1;22.540748119354;51.234756671080;9;152;
5112;Abramowice;1;22.548483330000;51.236700000000;10;152;
5191;Abramowice;4;22.554899454117;51.237470524127;11;152;
